typeID,typeName,description,raceName
592,Navitas,"In YC114 each major empire faction, having been embroiled in a harrowing, extensive, long-term war, recognized the growing need for support and logistics functionality in their vessels during the kind of protracted interstellar warfare that might otherwise prove exhausting for its participants. In the Gallente Federation, this led to the redesign and redeployment of the Navitas.

The Navitas had been a solid mining vessel that had seen wide use by independent excavators, along with being one of the best ships available for budding traders and even for much-maligned scavengers. After its redesign, its long-range scanners and sturdy outer shell gave way entirely for remote repairing capabilities, moving the Navitas away from the calming buzz of mining lasers and into the roar of battle.",Gallente
593,Tristan,"Often nicknamed The Fat Man this nimble little frigate is mainly used by the Federation in escort duties or on short-range patrols. The Tristan has been very popular throughout Gallente space for years because of its versatility. It is rather expensive, but buyers will definitely get their money's worth, as the Tristan is one of the more powerful frigates available on the market.",Gallente
594,Incursus,"The Incursus may be found both spearheading and bulwarking Gallente military operations. Its speed makes it excellent for skirmishing duties, while its resilience helps it outlast its opponents on the battlefield. Incursus-class ships move together in groups and can quickly and effectively gang up on ships many times their size and overwhelm them. In recent years the Incursus has increasingly found its way into the hands of pirates, who love its aggressive appearance. ",Gallente
595,Gallente Police Ship,The standard police vessel of the Gallente Federation. Renowned for its high quality equipment and loadout.,Gallente
596,Impairor,"The Impairor-class corvette has been mass-produced by the Amarr Empire for decades. It is the most common space vessel sighted within the Amarrian boundaries, and is used both as a basic trade vessel and as a small-scale slave transport. ",Amarr
597,Punisher,"The Punisher is considered by many to be one of the best Amarr frigates in existence. As evidenced by its heavy armaments, the Punisher is mainly intended for large-scale military operations, acting in coordination with larger military vessels. With its damage output, however, it is also perfectly capable of punching its way right through unwary opponents.",Amarr
598,Breacher,"The Breacher's structure is little more than a fragile scrapheap, but the ship's missile launcher hardpoints and superior sensors have placed it among the most valued Minmatar frigates when it comes to long range combat.",Minmatar
599,Burst,"In YC114 each major empire faction, having been embroiled in a harrowing, extensive, long-term war, recognized the growing need for support and logistics functionality in their vessels during the kind of protracted interstellar warfare that might otherwise prove exhausting for its participants. In the Minmatar Republic, this led to the redesign and redeployment of the Burst.

The Burst had been a small and fast cargo vessel. This all changed after the redesign, when the Burst found its small-time mining capabilities curtailed in lieu of logistics systems that moved its focus to shield support for friendly vessels.",Minmatar
600,Minmatar Peacekeeper Ship,Minmatar Police 1,Minmatar
601,Ibis,The Caldari Ibis corvette is a small but stout vessel that fits admirably well as a cargo hauler or small-scale miner. Its reliability makes it a good choice for novice ship captains.,Caldari
602,Kestrel,"The Kestrel is a heavy missile boat with one of the most sophisticated sensor arrays around. Interestingly enough, it has been used by both the Caldari Navy and several wealthy trade corporations as a cargo-hauling vessel. It is one of few trading vessels with good punching power, making it ideal for solo trade-runs in dangerous areas. The Kestrel was designed so that it could take up to four missile launchers but as a result it can not be equipped with turret weapons nor with mining lasers.",Caldari
603,Merlin,"The Merlin is the most powerful combat frigate of the Caldari. Its role has evolved through the years, and while its defenses have always remained exceptionally strong for a Caldari vessel, its offensive capabilities have evolved from versatile, jack-of-all-trades attack patterns into focused and deadly gunfire tactics. The Merlin's primary aim is to have its turrets punch holes in opponents' hulls.",Caldari
605,Heron,"The Heron has good computer and electronic systems, giving it the option of participating in electronic warfare. But it has relatively poor defenses and limited weaponry, so it's more commonly used for scouting and exploration.",Caldari
606,Velator,The Velator class corvette is one of the older vessel types in the Gallente fleet. It was first deployed on the market as a fast passenger craft but the extra passenger quarters were later modified into weapon hardpoints as the newer models came to be used for small-scale security and military duties. The Velator is still a very solid mining and trading vessel.,Gallente
607,Imicus,"The Imicus is a slow but hard-shelled frigate, ideal for any type of scouting activity. Used by merchant, miner and combat groups, the Imicus is usually relied upon as the operation's eyes and ears when traversing low security sectors.",Gallente
608,Atron,"The Atron is a hard nugget with an advanced power conduit system, but little space for cargo. Although it is a good harvester when it comes to mining, its main ability is as a combat vessel.",Gallente
609,Maulus,"The Maulus is a high-tech vessel, specialized for electronic warfare. It is particularly valued in fleet warfare due to its optimization for sensor dampening technology.",Gallente
613,Devourer,Pirate Frigate 2,Minmatar
614,Fury,"The Fury is a fast and versatile frigate. Its primary role is as a tackler, getting in close and holding down the enemies of the Angel Cartel. It backs up this with decent armaments and is rarely alone.",Minmatar
615,Immolator,"The Immolator is a small ship, designed by the upper (read: unslaved) echelon of Sansha's Nation to serve as a good entry for those pilots new to the glory of Nation. It excels in picking off smaller targets and hitting them hard with energy beams.",Amarr
616,Medusa,"The Medusa is the Angel Cartels premier Frigate class Electronic Warfare platform. It's fast and agile, allowing it to keep the distance needed to avoid enemy fire while providing a range of electronic warfare support.",Minmatar
617,Echo,"The Echo is a small vessel, designed by the Angel Cartel to be easily missed in the heat of battle, while posing a viable threat in combat. As such, it is intended to rush in with guns blazing and subsequently escape without being eaten up by larger ships.",Minmatar
618,Lynx,"Little is known about the Lynx. The Angel Cartel uses it for a variety of roles including close range electronic warfare support, as well as dishing out significant damage from its projectile weapon systems.",Minmatar
619,Swordspine,"The Swordspine is a logistics frigate operated by the Angel Cartel. It's remote shield boosters have saved many an Angel pilot, and lead to the downfall of countless capsuleers.",Minmatar
620,Osprey,"In YC114 each major empire faction, having been embroiled in a harrowing, extensive, long-term war, recognized the growing need for support and logistics functionality in their vessels during the kind of protracted interstellar warfare that might otherwise prove exhausting for its participants. Both Frigate and Cruiser-class ships were put under the microscope, and in the Caldari State the outcome of the re-evaluation process led, among other developments, to a redesign and redeployment of the Osprey.

The Osprey originally offered excellent versatility and power for what was considered a comparably low price. After its redesign, its inbuilt mining technology - now a little creaky and long in the tooth - was gutted from the Osprey and replaced in its entirety with tech of a different type, capable of high energy and shield transfers.",Caldari
621,Caracal,"The Caracal is a powerful vessel that specializes in missile deployment. It has excellent shield defenses, but poor armor plating. Its missile arsenal, when fully stocked, is capable of making mincemeat of almost anyone.",Caldari
622,Stabber,"The Stabber is the mainstay of the Minmatar fleet. It is light and extremely fast, yet surprisingly powerful, with a wide variety of weapons. It is one of few Minmatar vessels that have reached popularity outside Minmatar space.",Minmatar
623,Moa,"The Moa was designed as an all-out combat ship, and its heavy armament allows the Moa to tackle almost anything that floats in space. In contrast to its nemesis the Thorax, the Moa is most effective at long range where its railguns can rain death upon foes.",Caldari
624,Maller,"Quite possibly the toughest cruiser in the galaxy, the Maller is a common sight in Amarrian Imperial Navy operations. It is mainly used for military duty, although a few can be found in the private sector acting as escort ships for very important dispatches.",Amarr
625,Augoror,"In YC114 each major empire faction, having been embroiled in a harrowing, extensive, long-term war, recognized the growing need for support and logistics functionality in their vessels during the kind of protracted interstellar warfare that might otherwise prove exhausting for its participants. Both Frigate and Cruiser-class ships were put under the microscope, and in the Amarr Empire the outcome of the re-evaluation process led, among other developments, to a redesign and redeployment of the Augoror.

The Augoror-class cruiser is one of the old warhorses of the Amarr Empire, having seen action in both the Jovian War and the Minmatar Rebellion. Like most Amarr vessels, the Augoror depended first and foremost on its resilience and heavy armor to escape unscathed from unfriendly encounters. After its overhaul, it had some of the armor stripped off to make room for equipment allowing it to focus on the armor of other vessels, along with energy transfers.",Amarr
626,Vexor,"The Vexor is a strong combat ship that is also geared to operate in a variety of other roles. The Vexor is especially useful for surveying in potentially hostile sectors as it can stay on duty for a very long time before having to return to base. Furthermore, it is well capable of defending itself against even concentrated attacks.",Gallente
627,Thorax,"The Thorax-class cruiser is the latest combat ship commissioned by the Federation. While the Thorax is a very effective ship at any range, typical of modern Gallente design philosophy it is most effective when working at extreme close range where its blasters and hordes of combat drones tear through even the toughest of enemies.",Gallente
628,Arbitrator,"The Arbitrator is unusual for Amarr ships in that it's primarily a drone carrier. While it is not the best carrier around, it has superior armor that gives it greater durability than most ships in its class.",Amarr
629,Rupture,"The Rupture is slow for a Minmatar ship, but it more than makes up for it in power. The Rupture has superior firepower and is used by the Minmatar Republic both to defend space stations and other stationary objects and as part of massive attack formations.",Minmatar
630,Bellicose,"Being a highly versatile class of Minmatar ships, the Bellicose has been used as a combat juggernaut as well as a support ship for wings of frigates. While not quite in the league of newer navy cruisers, the Bellicose is still a very solid ship for most purposes, especially in terms of long range combat.",Minmatar
631,Scythe,"In YC114 each major empire faction, having been embroiled in a harrowing, extensive, long-term war, recognized the growing need for support and logistics functionality in their vessels during the kind of protracted interstellar warfare that might otherwise prove exhausting for its participants. Both Frigate and Cruiser-class ships were put under the microscope, and in the Minmatar Republic the outcome of the re-evaluation process led, among other developments, to a redesign and redeployment of the Scythe.

The Scythe-class cruiser remains the oldest Minmatar ship still in use. It has seen many battles and is an integrated part in Minmatar tales and heritage. With its redesign, past firmware upgrades for mining output were tossed out entirely in favor of two new separate systems that focused on shield transporting and logistics drones respectively.",Minmatar
632,Blackbird,"The Blackbird is a small high-tech cruiser newly employed by the Caldari Navy. Commonly seen in fleet battles or acting as wingman, it is not intended for head-on slugfests, but rather delicate tactical situations. ",Caldari
633,Celestis,"The Celestis cruiser is a versatile ship which can be employed in a myriad of roles, making it handy for small corporations with a limited number of ships. True to Gallente style the Celestis is especially deadly in close quarters combat due to its advanced targeting systems.",Gallente
634,Exequror,"In YC114 each major empire faction, having been embroiled in a harrowing, extensive, long-term war, recognized the growing need for support and logistics functionality in their vessels during the kind of protracted interstellar warfare that might otherwise prove exhausting for its participants. Both Frigate and Cruiser-class ships were put under the microscope, and in the Gallente Federation the outcome of the re-evaluation process led, among other developments, to a redesign and redeployment of the Exequror.

The Exequror was a heavy cargo cruiser originally strong enough to defend itself against raiding frigates, though it lacked prowess in heavier combat situations. After its redesign, it had some of that bulk - and, necessarily, some of that strength - yanked out and replaced with the capability to help others in heavy combat situations, in particular those who needed armor repairs.",Gallente
635,Opux Luxury Yacht,"The Opux Luxury Yachts are normally used by the entertainment industry for pleasure tours for wealthy Gallente citizens. These Opux Luxury Yacht cruisers are rarely seen outside of Gallente controlled space, but are extremely popular within the Federation.",Gallente
638,Raven,"The Raven is the powerhouse of the Caldari Navy. With its myriad launcher slots and powerful shields, few ships can rival it in strength or majesty.",Caldari
639,Tempest,"The Tempest is one of the Republic Fleet's key vessels; a versatile gunship proficient at long-range bombardment and capable of dishing out specialized types of damage with great effectiveness. A well-rounded squadron of Tempests has been proven time and time again to be an invaluable wild card in a fleet battle, one which opponents should ignore at their own peril.",Minmatar
640,Scorpion,"The first Scorpion-class battleship was launched only a couple of years ago, and those that have been built are considered to be prototypes. Little is known of its capabilities, but what has been garnered suggests that the Scorpion is crammed to the brink with sophisticated hi-tech equipment that few can match.",Caldari
641,Megathron,"The Megathron has established itself as one of the most feared and respected battleships around. Since its first appearance almost two decades ago it has seen considerable service in the troublesome regions on the outskirts of the Federation, helping to expand and defend Gallentean influence there.",Gallente
642,Apocalypse,"In days past, only those in high favor with the Emperor could hope to earn the reward of commanding one of the majestic and powerful Apocalypse class battleships. In latter years, even though now in full market circulation, these golden, metallic monstrosities are still feared and respected as enduring symbols of Amarrian might.",Amarr
643,Armageddon,"The mighty Armageddon class is one of the enduring warhorses of the Amarr Empire. Once a juggernaut that steamrolled its way into battle, it has now taken on a more stately and calculated approach, sending out a web of drones in its place while it drains the enemy from a distance.",Amarr
644,Typhoon,"Much praised by its proponents and much maligned by its detractors, the Typhoon-class battleship has always been one of the most hotly debated spacefaring vessels around. Its distinguishing aspect - and the source of most of the controversy - is its sheer versatility, variously seen as either a lack of design focus or a deliberate freedom for pilot modification. ",Minmatar
645,Dominix,"The Dominix is one of the old warhorses dating back to the Gallente-Caldari War. While no longer regarded as the king of the hill, it is by no means obsolete. Its formidable hulk and powerful drone arsenal means that anyone not in the largest and latest battleships will regret ever locking horns with it.",Gallente
648,Badger,"The Badger-class industrial is the main cargo-carrier for the Caldari State, particularly in long, arduous trade-runs. Its huge size and comfortable armament makes it perfectly equipped for those tasks, although the Caldari seldom let it roam alone.
",Caldari
649,Tayra,"The Tayra, an evolution of the now-defunct Badger Mark II, focuses entirely on reaching the highest potential capacity that Caldari engineers can manage.",Caldari
650,Nereus,"Originally set to sail under the guise of ""Iteron"", this new iteration of an old stalwart is fast and reliable. It is equally popular among civilians and militaries due to its low price and ability to be fitted in myriad different ways. Despite its speed and resilience, however, it may need to be guarded while in particularly unfriendly territories, which is why it has also been outfitted with a drone bay for extra protection.",Gallente
651,Hoarder,"Aside from being endowed with the usual hauling capabilities of Industrials, the Hoarder possesses an extra cargo bay. That bay is a static-free, blast-proof chamber, and as such is meant to be dedicated solely to ferrying consumable charges of all kinds, including ammunition, missiles, capacitor charges, nanite paste and bombs. ",Minmatar
652,Mammoth,"The Mammoth is the largest industrial ship of the Minmatar Republic. It was designed with aid from the Gallente Federation, making the Mammoth both large and powerful yet also nimble and technologically advanced. A very good buy.",Minmatar
653,Wreathe,"The Wreathe is an old ship of the Minmatar Republic and one of the oldest ships still in usage. The design of the Wreathe is very plain, which is the main reason for its longevity, but it also makes the ship incapable of handling anything but the most mundane tasks.",Minmatar
654,Kryos,"Aside from being endowed with the usual hauling capabilities of Industrials, the Kryos possesses an extra cargo bay. That bay is equipped with precise temperature and pressure controls, and is dedicated solely to ferrying minerals. The Kryos was originally designed as a variant of the Iteron, but eventually evolved to perform an entirely separate role.",Gallente
655,Epithal,"Aside from being endowed with the usual hauling capabilities of Industrials, the Epithal possesses an extra cargo bay. That bay is equipped with sealed sub-chambers capable of maintaining hospitable environments for practically any kind of organism or entity, from biocells to viral agents, and is meant solely for ferrying planetary commodities. The Epithal was originally designed as a variant of the Iteron, but eventually evolved to perform an entirely separate role.",Gallente
656,Miasmos,"Aside from being endowed with the usual hauling capabilities of Industrials, the Miasmos possesses an extra cargo bay. That bay is equipped with sealed, temperature-controlled vats, and is meant solely for ferrying all types of interstellar ore: ice, gasses and asteroids. The Miasmos was originally designed as a variant of the Iteron, but eventually evolved to perform an entirely separate role.",Gallente
657,Iteron Mark V,"This lumbering giant is the latest and last iteration in a chain of haulers. It is the only one to retain the original ""Iteron""-class callsign, but while all the others eventually evolved into specialized versions, the Iteron Mk. V still does what haulers do best: Transporting enormous amounts of goods and commodities between the stars.",Gallente
670,Capsule,Standard capsule.,Jove
671,Erebus,"From the formless void's gaping maw, there springs an entity. Not an entity such as any you can conceive of, nor I; an entity more primordial than the elements themselves, yet constantly coming into existence even as it is destroyed. It is the Child of Chaos, the Pathway to the Next.

The darkness shall swallow the land, and in its wake there will follow a storm, as the appetite of nothing expands over the world.

From the formless void's gaping maw, there springs an entity.

<i>-Dr. Damella Macaper,
The Seven Events of the Apocalypse</i>",Gallente
672,Caldari Shuttle,Caldari Shuttle,Caldari
1233,Polaris Enigma Frigate,"The Polaris Enigma frigate is one of the most powerful Polaris ships built, superior in both combat and maneuverability.",Jove
1944,Bestower,"The Bestower has for decades been used by the Empire as a slave transport, shipping human labor between cultivated planets in Imperial space. As a proof to how reliable this class has been through the years, the Emperor has used an upgraded version of this very same class as transports for the Imperial Treasury. The Bestower has very thick armor and large cargo space.
",Amarr
2006,Omen,The Omen is a stereotypical example of the Amarrian School of thinking when it comes to ship design: thick armor and hard hitting lasers. Advancements in heat dissipation allow the Omen to fire its lasers faster than other ships without this technology.,Amarr
2078,Zephyr,"The Zephyr is a unique starship design, relying almost entirely on solar winds for sublight propulsion. Super-light sails allow it to ride the torrents of photons streaming through space, and its barebones construction gives it a tiny sensor footprint and almost negligible mass.

Originally conceived by the ascetic Intaki polymath Valsas en Dilat as a demonstration of minimalist starship design, it was never intended as a commercial venture. The recent discovery of the uncharted Sleeper Territories and their myriad wormholes has brought the Zephyr new attention - its mass makes it an ideal exploration vessel.

Valsas remains adamant that the Zephyr never sees mass production, but at the close of YC111 he authorized the Intaki Syndicate to distribute a single hull to every registered capsuleer.",Gallente
2161,Crucifier,"The Crucifier was first designed as an explorer/scout, but the current version employs the electronic equipment originally intended for scientific studies for more offensive purposes. The Crucifier's electronic and computer systems take up a large portion of the internal space leaving limited room for cargo or traditional weaponry.  ",Amarr
2834,Utu,"The Utu is a highly advanced drone platform specially commissioned for the 8th Alliance Tournament. While based on the Ishkur's design, this ship features design elements that go above and beyond the original blueprint.

In addition to revolutionary heat dispersion field projectors, the Utu is equipped with cutting-edge hardwired drone protocols and upgraded warp scrambling capability. Combined with the sturdy armor plating, these qualities make the Utu a powerful ally in any combat encounter.",Gallente
2836,Adrestia,"The Adrestia is a high-powered blaster platform specially commissioned for the 8th Alliance Tournament. While similar to its sister vessel the Deimos (on which its design was based), this ship nonetheless differs in some very important ways. Utilizing lightweight alloys and a prototype form of ion thruster, the Adrestia is capable of reaching truly mind-boggling speeds for a heavy assault vessel. While this makes it less sturdy than its predecessor, the lack of defensive plating is compensated for by state-of-the-art targeting systems, thoroughly optimized weapon hardpoints and upgraded warp scrambling capability. Don't let the lack of defense fool you; very few vessels out there can stand against the Adrestia toe to toe.

",Gallente
2863,Primae,"The Primae is a repurposed ORE design intended to ease the task of extracting resources from planetbound environments. Initially devised as a deep space salvage vessel for large-scale ore retrieval from destroyed ORE fleets in pirate-occupied areas, its previous incarnation was made all but obsolete by the arrival of capsuleers on the interstellar scene. Realizing that the ship could, with a few minor modifications, be made into an efficient resource harvesting aid, ORE wasted no time in revamping the design.<br><br>A low signature radius (a holdover from its earlier manifestation) adds a layer of defense to the Primae's already decent plating. In addition, the ship's two large bays have been re-engineered to hold equipment for planetside resource extraction and processed materials, making it an especially useful complement to any planetside harvesting endeavor.",ORE
2998,Noctis,"The Noctis marks Outer Ring Excavations' entry into the lucrative bulk salvaging market. Building on their successes integrating Marauder-class tractor technology into the Orca command platform, and innovations in automated salvaging technology, they designed a compact, affordable wreck recovery solution.<br><br>A refined version of the successful limited-run Primae design made the perfect hull to house this new equipment, as its salvaging heritage and advanced sensor suites complement and enhance the new technologies. The increased sensor footprint of the new vessel is more than compensated for by its incredible efficiency at retrieving and reclaiming wreckage.<br><br>The Noctis can fit up to five Salvage Drones, further enhancing its salvaging capabilities.",ORE
3514,Revenant,"Do you know what you are, capsuleer? The truth will not comfort you.<br>You are a frightened child running headfirst towards oblivion.

And I?
I am the only one who tried to stop you.
I am the Messiah that you turned against.

You persecuted me, hunted my children.
Vowed to burn my Promised Land to ash.

Now I have returned, and I know you better than you know yourself.

I will vanquish your fear, and commute your flesh to dust.

<i>- Sansha Kuvakei</i><br><br>

",Pirate
3516,Malice,"The Malice is an assault frigate design exclusively commissioned as a reward in the ninth Alliance Tournament. Sporting custom metal alloys in its plated carapace, it is one of the most expensive ships ever produced in its class. Far from being a mere ornament, though, the Malice features quality armament systems, strong defensive plating and a massive capacitor, and its vastly augmented facility for energy destabilization makes it a formidable adversary in any engagement.",Amarr
3518,Vangel,"The Vangel is a heavy assault cruiser design exclusively commissioned as a reward in the ninth Alliance Tournament. Like its smaller sibling the Malice, it possesses greatly enhanced energy destabilization systems. Though it was primarily conceived as a combat vessel for the solitary pilot, the Vangel‘s great stores of capacitor power and top-of-the-line armor plating make it no less effective in small fleets. A sleek, deadly triumph of both form and function.
",Amarr
3532,Echelon,"A limited run of these ships was released to capsuleers at the end of YC 112, as a platform to utilize an influx of <url=showinfo:3581>Purloined Sansha Data Analyzers</url> that CONCORD had acquired. CONCORD's hope was that capsuleers could find a way to use the hardware against Sansha forces as they began mounting organized incursions into territories across the cluster.<br><br>The specialized nature of the hardware in Sansha Data Analyzer technology makes it incompatible with standard data buses, but this ship's unique hull design has an adaptive synchronization suite that allows it to interface with a wide range of non-standard hardware. CONCORD has remained silent on the origin of this design, but a number of amateur analysts maintain that ships of very similar configuration, carrying SCC and DED transponders, have been observed covertly on multiple prior occasions.",Amarr
3628,Nation,,Pirate
3751,SOCT 1,The Society of Conscious Thought prefers this vehicle for most of its errands.,Jove
3753,SOCT 2,The Society of Conscious Thought prefers this vehicle for many of its errands.,Jove
3756,Gnosis,"The SoCT's Gnosis-class battlecruiser is typically used as an exploration, research or training vessel and is well equipped for such activities. It is even better prepared, however, to guard such tasks from interruption and sabotage.

Although The Society generally frowns upon violent behavior, extreme (and often, extremely violent) methods are taken to protect its own vessels and the secrets they may carry.

This mission of acquiring, deepening and sharing knowledge is key to the philosophy of the SoCT, and one well-served by the capable and fearsome Gnosis.",Jove
3764,Leviathan,"Citizens of the State, rejoice!<br>
Today, a great milestone has been achieved by our glorious leaders. A stepping stone in the grand story of our empire has been traversed. Our individual fears may be quietened; the safety of our great nation has been secured.<br>
Today, unyielding, we have walked the way of the warrior. In our hands have our fates been molded. On the Leviathan's back will our civilization be carried home and the taint of the Enemy purged from our souls.<br>
Rejoice, citizens! Victory is at hand.<br>
<i>-Caldari State Information Bureau Pamphlet, YC 12</i>",Caldari
3766,Vigil,"The Vigil is an unusual Minmatar ship, serving both as a long range scout as well as an electronic warfare platform. It is fast and agile, allowing it to keep the distance needed to avoid enemy fire while making use of jammers or other electronic gadgets.",Minmatar
3768,Amarr Police Frigate,Amarr Police Frigate ,Amarr
4005,Scorpion Ishukone Watch,"With its focus on electronic warfare, few ships can resist the direct onslaught of the Ishukone Watch Scorpion-class battleship's jamming capabilities.
 
<font color=white><u>Details</u></font>
This variant of the Scorpion represents the pinnacle of the Ishukone paramilitary force's electronic warfare capabilities.
 
<font color=white><u>Development</u></font>
When Ishukone Watch was commissioned to produce a run of Scorpion-class battleships for its parent company, it was decided that a number of extra units would be offered to the capsuleer community to help fund the effort. Interestingly, the entire project took less than one year from start to finish, suggesting at some degree of urgency in the fleet's production.

The first of these vessels was awarded to Gallente pilot Jack DuVal on June 4th YC115 as a gesture of good will, after it was stolen from an Ishukone Watch shipyard in orbit of Caldari Prime by the Guristas Pirates, before being abandoned in his hangar in Korama after a lengthy pursuit across the Caldari Border Zone.
 
<font color=white><u>Technology</u></font>
Though the typical Scorpion-class battleship includes a highly advanced sensor package, Ishukone Watch modifies their ships for policing duty around their worlds. Custom multispectral radiation scanners designed to catch all forms of planetary and extra-planetary communications replace the standard comms suite. Special Ladar and thermal imaging equipment allow Ishukone Watch ships to serve as a distant eye-in-the-sky for planetary security forces. Although these features are stripped out before decommissioned hulls are placed on the open market, the infamy of the Ishukone Watch still makes ships popular with independent ship buyers.

<font color=white><u>Notes</u></font>
Many wonder why Ishukone Watch would produce a massive run of electronic warfare battleships, especially with sensor suites fine-tuned to detect planetside signals. Some have speculated that these ships were intended to support a larger, multinational fleet. Regarding the mass production of these ships, Ishukone Watch CEO Eborimi Shiskala praised her parent corporation with an ""incredible dedication to the Ishukone doctrine of technological superiority.""",Caldari
4302,Oracle,"In YC 113 Empress Jamyl Sarum I challenged <a href=showinfo:30//500003>Amarr</a> ship manufacturers to build a new battlecruiser that would break the stalemate of the Empyrean War. Deviating from the doctrine of brute-force and heavy armor, the engineers at <a href=showinfo:2//1000066>Viziam</a> took inspiration from <a href=showinfo:30//500001>Caldari</a> history.
<br>During the Gallente-Caldari War, the Caldari developed light, maneuverable ships to counter the slow ships of the <a href=showinfo:30//500004>Gallente Federation</a>. This philosophy, along with a cutting-edge powertrain and ultra-light alloy armor plating, led to the Oracle.
<br>The Empire immediately ordered the ship into production. The Empress personally congratulated Viziam Chief Researcher <a href=showinfo:1383//3014474>Parud Vakirokiki</a>, calling the ship ""a work of Divine Grace for the Empire, and retribution to our enemies.""",Amarr
4306,Naga,"The Naga was designed in YC 109 by <a href=showinfo:2//1000043>Corporate Police Force</a> as an anti-<a href=showinfo:30//500010>Guristas</a> ship, sacrificing the usual robust <a href=showinfo:2//1000035>Caldari Navy</a> standards in favor of supporting battleship-class weaponry. It was rejected by <a href=showinfo:2//1000005>Hyasyoda</a> management for being overspecialized.
<br>The Naga design remained in the Hyasyoda archives, forgotten (save for a cameo in the Gallente holo-series <i>CPF Blue</i>). In YC 113 the Caldari Navy entertained contracts for a new tier of gunboat battlecruiser. Hyasyoda quickly submitted and won with the Naga, underbidding both <a href=showinfo:2//1000010>Kaalakiota</a> and <a href=showinfo:2//1000019>Ishukone</a>.
<br>The Naga is effective in any campaign where fast, mobile firepower is required.",Caldari
4308,Talos,"The Talos began in YC 110 as a R&D concept by <a href=showinfo:30//500014>ORE</a>. Conceived as a patrol craft for mining operations in lawless space, the Talos would have been abandoned completely were it not adopted by the Black Eagles, a black-ops branch of the <a href=showinfo:30//500004>Gallente</a> government. The Black Eagles stripped the Talos of non-essential systems and bolted on battleship-class weapons, creating a quick-strike craft ideal for guerilla action. 
<br>The Talos remained a military secret until YC 113, when it was introduced into wider circulation as a third tier battlecruiser. Today the Talos is manufactured by <a href=showinfo:2//1000109>Duvolle Labs</a>, who modified the original ORE designs to bring it in line with Gallente standards.",Gallente
4310,Tornado,"In YC 113 <a href=showinfo:2//1000054>Republic Security Services</a> learned the <a href=showinfo:30//500003>Amarr Empire</a> was building a new battlecruiser capable of supporting battleship-class weapons. Determined to not lose their technological edge to their adversaries, <a href=showinfo:2//1000051>Republic Fleet</a> commissioned <a href=showinfo:2//1000057>Boundless Creation</a> to construct a gunboat to match.<br><br>What they designed was the Tornado. Developed in record time and total secrecy, the Tornado is a testament to Minmatar engineering. Modeled loosely off of flying-wing designs of ancient planetary bombers, the Tornado supports multiple large projectile turrets, dealing massive damage while maintaining a small signature radius.",Minmatar
